cell_id,name_expansion,lineage,classification,source_ref
R7AL,Ray 7 Neuron A Left,"TL.apappaaa, (R7.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R7AR,Ray 7 Neuron A Right,"TR.apappaaa, (R7.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R7BL,Ray 7 Neuron B Left,"TL.apappapa, (R7.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R7BR,Ray 7 Neuron B Right,"TR.apappapa, (R7.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R7stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R7stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R8AL,Ray 8 Neuron A Left,"TL.appaaaaa, (R8.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R8AR,Ray 8 Neuron A Right,"TR.appaaaaa, (R8.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R8BL,Ray 8 Neuron B Left,"TL.appaaapa, (R8.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R8BR,Ray 8 Neuron B Right,"TR.appaaapa, (R8.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R8stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R8stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R9AL,Ray 9 Neuron A Left,"TL.appapaaa, (R9.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R9AR,Ray 9 Neuron A Right,"TR.appapaaa, (R9.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R9BL,Ray 9 Neuron B Left,"TL.appapapa, (R9.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R9BR,Ray 9 Neuron B Right,"TR.appapapa, (R9.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R9stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R9stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
RIAL,Ring Interneuron A Left,AB alapaapaa,"Ring interneuron, many synapses",wormatlas_cook_2019_via_cect
RIAR,Ring Interneuron A Right,AB alaapppaa,"Ring interneuron, many synapses",wormatlas_cook_2019_via_cect
RIBL,Ring Interneuron B Left,AB plpaappap,Ring interneuron,wormatlas_cook_2019_via_cect
RIBR,Ring Interneuron B Right,AB prpaappap,Ring interneuron,wormatlas_cook_2019_via_cect
RICL,Ring Interneuron C Left,AB plppaaaapp,Ring interneuron,wormatlas_cook_2019_via_cect
RICR,Ring Interneuron C Right,AB prppaaaapp,Ring interneuron,wormatlas_cook_2019_via_cect
RID,Ring Interneuron D,AB alappaapa,"Ring interneuron, projects along dorsal cord",wormatlas_cook_2019_via_cect
RIFL,Ring Interneuron F Left,AB plppapaaap,Ring interneuron,wormatlas_cook_2019_via_cect
RIFR,Ring Interneuron F Right,AB prppapaaap,Ring interneuron,wormatlas_cook_2019_via_cect
RIGL,Ring Interneuron G Left,AB plppappaa,Ring interneuron,wormatlas_cook_2019_via_cect
RIGR,Ring Interneuron G Right,AB prppappaa,Ring interneuron,wormatlas_cook_2019_via_cect
RIH,Ring Interneuron H,AB prpappaaa,Ring interneuron,wormatlas_cook_2019_via_cect
RIML,Ring Interneuron M Left,AB plppaapap,Ring motor neuron,wormatlas_cook_2019_via_cect
RIMR,Ring Interneuron M Right,AB prppaapap,Ring motor neuron,wormatlas_cook_2019_via_cect
RIPL,Ring Interneuron P Left,AB alpapaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring",wormatlas_cook_2019_via_cect
RIPR,Ring Interneuron P Right,AB arappaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring",wormatlas_cook_2019_via_cect
RIR,Ring Interneuron R,AB prpapppaa,Ring interneuron,wormatlas_cook_2019_via_cect
RIS,Ring Interneuron S,AB prpappapa,Ring interneuron,wormatlas_cook_2019_via_cect
RIVL,Ring Interneuron V Left,AB plpaapaaa,Ring interneuron,wormatlas_cook_2019_via_cect
RIVR,Ring Interneuron V Right,AB prpaapaaa,Ring interneuron,wormatlas_cook_2019_via_cect
RMDDL,Ring Motor Neuron D Dorsal Left,AB alpapapaa,"Ring motor neuron/interneuron, many synapses",wormatlas_cook_2019_via_cect
RMDDR,Ring Motor Neuron D Dorsal Right,AB arappapaa,"Ring motor neuron/interneuron, many synapses",wormatlas_cook_2019_via_cect
RMDL,Ring Motor Neuron D Left,AB alpppapad,"Ring motor neuron/interneuron, many synapses",wormatlas_cook_2019_via_cect
RMDR,Ring Motor Neuron D Right,AB praaaapad,"Ring motor neuron/interneuron, many synapses",wormatlas_cook_2019_via_cect
RMDVL,Ring Motor Neuron D Ventral Left,AB alppapaaa,"Ring motor neuron/interneuron, many synapses",wormatlas_cook_2019_via_cect
RMDVR,Ring Motor Neuron D Ventral Right,AB arapppaaa,"Ring motor neuron/interneuron, many synapses",wormatlas_cook_2019_via_cect
RMED,Ring Motor Neuron E Dorsal,AB alapppaap,Ring motor neuron,wormatlas_cook_2019_via_cect
RMEL,Ring Motor Neuron E Left,AB alaaaarlp,Ring motor neuron,wormatlas_cook_2019_via_cect
RMER,Ring Motor Neuron E Right,AB alaaaarrp,Ring motor neuron,wormatlas_cook_2019_via_cect
RMEV,Ring Motor Neuron E Ventral,AB plpappaaa,Ring motor neuron,wormatlas_cook_2019_via_cect
RMFL,Ring Motor Neuron F Left,G2.al,Ring motor neuron/interneuron,wormatlas_cook_2019_via_cect
RMFR,Ring Motor Neuron F Right,G2.ar,Ring motor neuron/interneuron,wormatlas_cook_2019_via_cect
RMGL,Ring Motor Neuron G Left,AB plapaaapp,Ring interneuron,wormatlas_cook_2019_via_cect
RMGR,Ring Motor Neuron G Right,AB prapaaapp,Ring interneuron,wormatlas_cook_2019_via_cect
RMHL,Ring Motor Neuron H Left,G1.l,Ring motor neuron/interneuron,wormatlas_cook_2019_via_cect
RMHR,Ring Motor Neuron H Right,G1.r,Ring motor neuron/interneuron,wormatlas_cook_2019_via_cect
SAADL,Sublateral Anterior A Dorsal Left,AB alppapapa,"Ring interneuron, anteriorly projecting process that runs sublaterally",wormatlas_cook_2019_via_cect
SAADR,Sublateral Anterior A Dorsal Right,AB arapppapa,"Ring interneuron, anteriorly projecting process that runs sublaterally",wormatlas_cook_2019_via_cect
SAAVL,Sublateral Anterior A Ventral Left,AB plpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally",wormatlas_cook_2019_via_cect
SAAVR,Sublateral Anterior A Ventral Right,AB prpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally",wormatlas_cook_2019_via_cect
SABD,Sublateral Anterior B Dorsal,AB plppapaap,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",wormatlas_cook_2019_via_cect
SABVL,Sublateral Anterior B Ventral Left,AB plppapaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",wormatlas_cook_2019_via_cect
SABVR,Sublateral Anterior B Ventral Right,AB prppapaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",wormatlas_cook_2019_via_cect
SDQL,Sublateral Dorsal Q-cell Derived Left,QL.pap,"Post. lateral interneuron, process projects into ring",wormatlas_cook_2019_via_cect
SDQR,Sublateral Dorsal Q-cell Derived Right,QR.pap,"Ant. lateral interneuron, process projects into ring",wormatlas_cook_2019_via_cect
SIADL,Sublateral Interneuron A Dorsal Left,AB plpapaapa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",wormatlas_cook_2019_via_cect
SIADR,Sublateral Interneuron A Dorsal Right,AB prpapaapa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",wormatlas_cook_2019_via_cect
SIAVL,Sublateral Interneuron A Ventral Left,AB plpapappa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",wormatlas_cook_2019_via_cect
SIAVR,Sublateral Interneuron A Ventral Right,AB prpapappa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",wormatlas_cook_2019_via_cect
SIBDL,Sublateral Interneuron B Dorsal Left,AB plppaaaaa,Similar to SIA,wormatlas_cook_2019_via_cect
SIBDR,Sublateral Interneuron B Dorsal Right,AB prppaaaaa,Similar to SIA,wormatlas_cook_2019_via_cect
SIBVL,Sublateral Interneuron B Ventral Left,AB plpapaapp,Similar to SIA,wormatlas_cook_2019_via_cect
SIBVR,Sublateral Interneuron B Ventral Right,AB prpapaapp,Similar to SIA,wormatlas_cook_2019_via_cect
SMBDL,Sublateral Motor Neuron B Dorsal Left,AB alpapapapp,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMBDR,Sublateral Motor Neuron B Dorsal Right,AB arappapapp,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMBVL,Sublateral Motor Neuron B Ventral Left,AB alpapappp,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMBVR,Sublateral Motor Neuron B Ventral Right,AB arappappp,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMDDL,Sublateral Motor Neuron D Dorsal Left,AB plpapaaaa,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMDDR,Sublateral Motor Neuron D Dorsal Right,AB prpapaaaa,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMDVL,Sublateral Motor Neuron D Ventral Left,AB alppappaa,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SMDVR,Sublateral Motor Neuron D Ventral Right,AB arappppaa,"Ring motor neuron/interneuron, has a posteriorly directed process that runs sublaterally",wormatlas_cook_2019_via_cect
SPCL,SPicule Neuron C Left,B.alpaap,"Male specific sensory/motor neuron, innervates spicule protractor muscle, cell body in left cloacal ganglion",wormatlas_cook_2019_via_cect
SPCR,SPicule Neuron C Right,B.arpaap,"Male specific sensory/motor neuron, innervates spicule protractor muscle, cell body in right cloacal ganglion",wormatlas_cook_2019_via_cect
SPDL,SPicule Neuron D Left,B.alpapaa,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in left cloacal ganglion",wormatlas_cook_2019_via_cect
SPDR,SPicule Neuron D Right,B.arpapaa,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in right cloacal ganglion",wormatlas_cook_2019_via_cect
SPVL,SPicule Neuron V Left,B.al/raalda,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in left cloacal ganglion",wormatlas_cook_2019_via_cect
SPVR,SPicule Neuron V Right,B.al/raarda,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in right cloacal ganglion",wormatlas_cook_2019_via_cect
URADL,"Unknown Receptor, not Ciliated A Dorsal Left",AB plaaaaaaa,Ring motor neuron,wormatlas_cook_2019_via_cect
URADR,"Unknown Receptor, not Ciliated A Dorsal Right",AB arpapaaaa,Ring motor neuron,wormatlas_cook_2019_via_cect
URAVL,"Unknown Receptor, not Ciliated A Ventral Left",AB plpaaapaa,Ring motor neuron,wormatlas_cook_2019_via_cect
URAVR,"Unknown Receptor, not Ciliated A Ventral Right",AB prpaaapaa,Ring motor neuron,wormatlas_cook_2019_via_cect
URBL,"Unknown Receptor, not Ciliated B Left",AB plaapaapa,"Neuron, presynaptic in ring, ending in head",wormatlas_cook_2019_via_cect
URBR,"Unknown Receptor, not Ciliated B Right",AB praapaapa,"Neuron, presynaptic in ring, ending in head",wormatlas_cook_2019_via_cect
URXL,"Unknown Receptor, not Ciliated X Left",AB plaaaaappp,Ring interneuron,wormatlas_cook_2019_via_cect
URXR,"Unknown Receptor, not Ciliated X Right",AB arpapaappp,Ring interneuron,wormatlas_cook_2019_via_cect
URYDL,"Unknown Receptor, not Ciliated Y Dorsal Left",AB alapapapp,"Neuron, presynaptic in ring, ending in head",wormatlas_cook_2019_via_cect
URYDR,"Unknown Receptor, not Ciliated Y Dorsal Right",AB alapppapp,"Neuron, presynaptic in ring, ending in head",wormatlas_cook_2019_via_cect
URYVL,"Unknown Receptor, not Ciliated Y Ventral Left",AB plpaaappp,"Neuron, presynaptic in ring, ending in head",wormatlas_cook_2019_via_cect
URYVR,"Unknown Receptor, not Ciliated Y Ventral Right",AB prpaaappp,"Neuron, presynaptic in ring, ending in head",wormatlas_cook_2019_via_cect
VA1,Ventral A-type Motor Neuron 1,W.pa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA10,Ventral A-type Motor Neuron 10,P10.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA11,Ventral A-type Motor Neuron 11,P11.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA12,Ventral A-type Motor Neuron 12,P12.aaaa,"Ventral cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion",wormatlas_cook_2019_via_cect
VA2,Ventral A-type Motor Neuron 2,P2.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA3,Ventral A-type Motor Neuron 3,P3.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA4,Ventral A-type Motor Neuron 4,P4.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA5,Ventral A-type Motor Neuron 5,P5.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA6,Ventral A-type Motor Neuron 6,P6.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA7,Ventral A-type Motor Neuron 7,P7.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA8,Ventral A-type Motor Neuron 8,P8.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VA9,Ventral A-type Motor Neuron 9,P9.aaaa,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB1,Ventral B-type Motor Neuron 1,P1.aaap,"Ventral cord motor neuron, innervates vent. body muscles, also interneuron in ring",wormatlas_cook_2019_via_cect
VB10,Ventral B-type Motor Neuron 10,P9.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB11,Ventral B-type Motor Neuron 11,P10.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB2,Ventral B-type Motor Neuron 2,W.aap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB3,Ventral B-type Motor Neuron 3,P2.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB4,Ventral B-type Motor Neuron 4,P3.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB5,Ventral B-type Motor Neuron 5,P4.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB6,Ventral B-type Motor Neuron 6,P5.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB7,Ventral B-type Motor Neuron 7,P6.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB8,Ventral B-type Motor Neuron 8,P7.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
VB9,Ventral B-type Motor Neuron 9,P8.aaap,"Ventral cord motor neuron, innervates vent. body muscles",wormatlas_cook_2019_via_cect
