cell_id,class_name,source_row,source_ref
PVWL,PVW,190,wang_2024_nt_atlas
PVWR,PVW,191,wang_2024_nt_atlas
RIAL,RIA,192,wang_2024_nt_atlas
RIAR,RIA,193,wang_2024_nt_atlas
RIBL,RIB,194,wang_2024_nt_atlas
RIBR,RIB,195,wang_2024_nt_atlas
RICL,RIC,196,wang_2024_nt_atlas
RICR,RIC,197,wang_2024_nt_atlas
RID,RID,198,wang_2024_nt_atlas
RIFL,RIF,199,wang_2024_nt_atlas
RIFR,RIF,200,wang_2024_nt_atlas
RIGL,RIG,201,wang_2024_nt_atlas
RIGR,RIG,202,wang_2024_nt_atlas
RIH,RIH,203,wang_2024_nt_atlas
RIML,RIM,204,wang_2024_nt_atlas
RIMR,RIM,205,wang_2024_nt_atlas
RIPL,RIP,206,wang_2024_nt_atlas
RIPR,RIP,207,wang_2024_nt_atlas
RIR,RIR,208,wang_2024_nt_atlas
RIS,RIS,209,wang_2024_nt_atlas
RIVL,RIV,210,wang_2024_nt_atlas
RIVR,RIV,211,wang_2024_nt_atlas
RMDDL,RMD,212,wang_2024_nt_atlas
RMDDR,RMD,213,wang_2024_nt_atlas
RMDL,RMD,214,wang_2024_nt_atlas
RMDR,RMD,215,wang_2024_nt_atlas
RMDVL,RMD,216,wang_2024_nt_atlas
RMDVR,RMD,217,wang_2024_nt_atlas
RMED,RME,218,wang_2024_nt_atlas
RMEL,RME,219,wang_2024_nt_atlas
RMER,RME,220,wang_2024_nt_atlas
RMEV,RME,221,wang_2024_nt_atlas
RMFL,RMF,222,wang_2024_nt_atlas
RMFR,RMF,223,wang_2024_nt_atlas
RMGL,RMG,224,wang_2024_nt_atlas
RMGR,RMG,225,wang_2024_nt_atlas
RMHL,RMH,226,wang_2024_nt_atlas
RMHR,RMH,227,wang_2024_nt_atlas
SAADL,SAA,228,wang_2024_nt_atlas
SAADR,SAA,229,wang_2024_nt_atlas
SAAVL,SAA,230,wang_2024_nt_atlas
SAAVR,SAA,231,wang_2024_nt_atlas
SABD,SAB,232,wang_2024_nt_atlas
SABVL,SAB,233,wang_2024_nt_atlas
SABVR,SAB,234,wang_2024_nt_atlas
SDQL,SDQ,235,wang_2024_nt_atlas
SDQR,SDQ,236,wang_2024_nt_atlas
SIADL,SIA,237,wang_2024_nt_atlas
SIADR,SIA,238,wang_2024_nt_atlas
SIAVL,SIA,239,wang_2024_nt_atlas
SIAVR,SIA,240,wang_2024_nt_atlas
SIBDL,SIB,241,wang_2024_nt_atlas
SIBDR,SIB,242,wang_2024_nt_atlas
SIBVL,SIB,243,wang_2024_nt_atlas
SIBVR,SIB,244,wang_2024_nt_atlas
SMBDL,SMB,245,wang_2024_nt_atlas
SMBDR,SMB,246,wang_2024_nt_atlas
SMBVL,SMB,247,wang_2024_nt_atlas
SMBVR,SMB,248,wang_2024_nt_atlas
SMDDL,SMD,249,wang_2024_nt_atlas
SMDDR,SMD,250,wang_2024_nt_atlas
SMDVL,SMD,251,wang_2024_nt_atlas
SMDVR,SMD,252,wang_2024_nt_atlas
URADL,URA,253,wang_2024_nt_atlas
URADR,URA,254,wang_2024_nt_atlas
URAVL,URA,255,wang_2024_nt_atlas
URAVR,URA,256,wang_2024_nt_atlas
URBL,URB,257,wang_2024_nt_atlas
URBR,URB,258,wang_2024_nt_atlas
URXL,URX,259,wang_2024_nt_atlas
URXR,URX,260,wang_2024_nt_atlas
URYDL,URY,261,wang_2024_nt_atlas
URYDR,URY,262,wang_2024_nt_atlas
URYVL,URY,263,wang_2024_nt_atlas
URYVR,URY,264,wang_2024_nt_atlas
VA1,VA,265,wang_2024_nt_atlas
VA10,VA,274,wang_2024_nt_atlas
VA11,VA,275,wang_2024_nt_atlas
VA12,VA,276,wang_2024_nt_atlas
VA2,VA,266,wang_2024_nt_atlas
VA3,VA,267,wang_2024_nt_atlas
VA4,VA,268,wang_2024_nt_atlas
VA5,VA,269,wang_2024_nt_atlas
VA6,VA,270,wang_2024_nt_atlas
VA7,VA,271,wang_2024_nt_atlas
VA8,VA,272,wang_2024_nt_atlas
VA9,VA,273,wang_2024_nt_atlas
VB1,VB,277,wang_2024_nt_atlas
VB10,VB,286,wang_2024_nt_atlas
VB11,VB,287,wang_2024_nt_atlas
VB2,VB,278,wang_2024_nt_atlas
VB3,VB,279,wang_2024_nt_atlas
VB4,VB,280,wang_2024_nt_atlas
VB5,VB,281,wang_2024_nt_atlas
VB6,VB,282,wang_2024_nt_atlas
VB7,VB,283,wang_2024_nt_atlas
VB8,VB,284,wang_2024_nt_atlas
VB9,VB,285,wang_2024_nt_atlas
VC1,VC,288,wang_2024_nt_atlas
VC2,VC,289,wang_2024_nt_atlas
VC3,VC,290,wang_2024_nt_atlas
VC4,VC,291,wang_2024_nt_atlas
VC5,VC,292,wang_2024_nt_atlas
VC6,VC,293,wang_2024_nt_atlas
VD1,VD,294,wang_2024_nt_atlas
VD10,VD,303,wang_2024_nt_atlas
VD11,VD,304,wang_2024_nt_atlas
VD12,VD,305,wang_2024_nt_atlas
VD13,VD,306,wang_2024_nt_atlas
VD2,VD,295,wang_2024_nt_atlas
VD3,VD,296,wang_2024_nt_atlas
VD4,VD,297,wang_2024_nt_atlas
VD5,VD,298,wang_2024_nt_atlas
VD6,VD,299,wang_2024_nt_atlas
VD7,VD,300,wang_2024_nt_atlas
VD8,VD,301,wang_2024_nt_atlas
VD9,VD,302,wang_2024_nt_atlas
