id,category,category_source,source_labels
AVBR,neuron,wormatlas_cook_2019_via_cect,AVBR
AVDL,neuron,wormatlas_cook_2019_via_cect,AVDL
AVDR,neuron,wormatlas_cook_2019_via_cect,AVDR
AVEL,neuron,wormatlas_cook_2019_via_cect,AVEL
AVER,neuron,wormatlas_cook_2019_via_cect,AVER
AVFL,neuron,wormatlas_cook_2019_via_cect,AVFL
AVFR,neuron,wormatlas_cook_2019_via_cect,AVFR
AVG,neuron,wormatlas_cook_2019_via_cect,AVG
AVHL,neuron,wormatlas_cook_2019_via_cect,AVHL
AVHR,neuron,wormatlas_cook_2019_via_cect,AVHR
AVJL,neuron,wormatlas_cook_2019_via_cect,AVJL
AVJR,neuron,wormatlas_cook_2019_via_cect,AVJR
AVKL,neuron,wormatlas_cook_2019_via_cect,AVKL
AVKR,neuron,wormatlas_cook_2019_via_cect,AVKR
AVL,neuron,wormatlas_cook_2019_via_cect,AVL
AVM,neuron,wormatlas_cook_2019_via_cect,AVM
AWAL,neuron,wormatlas_cook_2019_via_cect,AWAL
AWAR,neuron,wormatlas_cook_2019_via_cect,AWAR
AWBL,neuron,wormatlas_cook_2019_via_cect,AWBL
AWBR,neuron,wormatlas_cook_2019_via_cect,AWBR
AWCL,neuron,wormatlas_cook_2019_via_cect,AWCL
AWCR,neuron,wormatlas_cook_2019_via_cect,AWCR
BAGL,neuron,wormatlas_cook_2019_via_cect,BAGL
BAGR,neuron,wormatlas_cook_2019_via_cect,BAGR
BDUL,neuron,wormatlas_cook_2019_via_cect,BDUL
BDUR,neuron,wormatlas_cook_2019_via_cect,BDUR
CANL,neuron,wormatlas_cook_2019_via_cect,CANL
CANR,neuron,wormatlas_cook_2019_via_cect,CANR
CEPDL,neuron,wormatlas_cook_2019_via_cect,CEPDL
CEPDR,neuron,wormatlas_cook_2019_via_cect,CEPDR
CEPVL,neuron,wormatlas_cook_2019_via_cect,CEPVL
CEPVR,neuron,wormatlas_cook_2019_via_cect,CEPVR
CEPshDL,glia,wormatlas_cook_2019_via_cect,CEPshDL
CEPshDR,glia,wormatlas_cook_2019_via_cect,CEPshDR
CEPshVL,glia,wormatlas_cook_2019_via_cect,CEPshVL
CEPshVR,glia,wormatlas_cook_2019_via_cect,CEPshVR
DA1,neuron,wormatlas_cook_2019_via_cect,DA01
DA2,neuron,wormatlas_cook_2019_via_cect,DA02
DA3,neuron,wormatlas_cook_2019_via_cect,DA03
DA4,neuron,wormatlas_cook_2019_via_cect,DA04
DA5,neuron,wormatlas_cook_2019_via_cect,DA05
DA6,neuron,wormatlas_cook_2019_via_cect,DA06
DA7,neuron,wormatlas_cook_2019_via_cect,DA07
DA8,neuron,wormatlas_cook_2019_via_cect,DA08
DA9,neuron,wormatlas_cook_2019_via_cect,DA09
DB1,neuron,wormatlas_cook_2019_via_cect,DB01
DB2,neuron,wormatlas_cook_2019_via_cect,DB02
DB3,neuron,wormatlas_cook_2019_via_cect,DB03
DB4,neuron,wormatlas_cook_2019_via_cect,DB04
DB5,neuron,wormatlas_cook_2019_via_cect,DB05
DB6,neuron,wormatlas_cook_2019_via_cect,DB06
DB7,neuron,wormatlas_cook_2019_via_cect,DB07
DD1,neuron,wormatlas_cook_2019_via_cect,DD01
DD2,neuron,wormatlas_cook_2019_via_cect,DD02
DD3,neuron,wormatlas_cook_2019_via_cect,DD03
DD4,neuron,wormatlas_cook_2019_via_cect,DD04
DD5,neuron,wormatlas_cook_2019_via_cect,DD05
DD6,neuron,wormatlas_cook_2019_via_cect,DD06
DVA,neuron,wormatlas_cook_2019_via_cect,DVA
DVB,neuron,wormatlas_cook_2019_via_cect,DVB
DVC,neuron,wormatlas_cook_2019_via_cect,DVC
FLPL,neuron,wormatlas_cook_2019_via_cect,FLPL
FLPR,neuron,wormatlas_cook_2019_via_cect,FLPR
GLRDL,other,wormatlas_cook_2019_via_cect,GLRDL
GLRDR,other,wormatlas_cook_2019_via_cect,GLRDR
GLRL,other,wormatlas_cook_2019_via_cect,GLRL
GLRR,other,wormatlas_cook_2019_via_cect,GLRR
GLRVL,other,wormatlas_cook_2019_via_cect,GLRVL
GLRVR,other,wormatlas_cook_2019_via_cect,GLRVR
HSNL,neuron,wormatlas_cook_2019_via_cect,HSNL
HSNR,neuron,wormatlas_cook_2019_via_cect,HSNR
I1L,neuron,wormatlas_cook_2019_via_cect,I1L
I1R,neuron,wormatlas_cook_2019_via_cect,I1R
I2L,neuron,wormatlas_cook_2019_via_cect,I2L
I2R,neuron,wormatlas_cook_2019_via_cect,I2R
I3,neuron,wormatlas_cook_2019_via_cect,I3
I4,neuron,wormatlas_cook_2019_via_cect,I4
I5,neuron,wormatlas_cook_2019_via_cect,I5
I6,neuron,wormatlas_cook_2019_via_cect,I6
IL1DL,neuron,wormatlas_cook_2019_via_cect,IL1DL
IL1DR,neuron,wormatlas_cook_2019_via_cect,IL1DR
IL1L,neuron,wormatlas_cook_2019_via_cect,IL1L
IL1R,neuron,wormatlas_cook_2019_via_cect,IL1R
IL1VL,neuron,wormatlas_cook_2019_via_cect,IL1VL
IL1VR,neuron,wormatlas_cook_2019_via_cect,IL1VR
IL2DL,neuron,wormatlas_cook_2019_via_cect,IL2DL
IL2DR,neuron,wormatlas_cook_2019_via_cect,IL2DR
IL2L,neuron,wormatlas_cook_2019_via_cect,IL2L
IL2R,neuron,wormatlas_cook_2019_via_cect,IL2R
IL2VL,neuron,wormatlas_cook_2019_via_cect,IL2VL
IL2VR,neuron,wormatlas_cook_2019_via_cect,IL2VR
LUAL,neuron,wormatlas_cook_2019_via_cect,LUAL
LUAR,neuron,wormatlas_cook_2019_via_cect,LUAR
M1,neuron,wormatlas_cook_2019_via_cect,M1
M2L,neuron,wormatlas_cook_2019_via_cect,M2L
M2R,neuron,wormatlas_cook_2019_via_cect,M2R
M3L,neuron,wormatlas_cook_2019_via_cect,M3L
M3R,neuron,wormatlas_cook_2019_via_cect,M3R
M4,neuron,wormatlas_cook_2019_via_cect,M4
M5,neuron,wormatlas_cook_2019_via_cect,M5
MCL,neuron,wormatlas_cook_2019_via_cect,MCL
MCR,neuron,wormatlas_cook_2019_via_cect,MCR
MDL01,muscle,wormatlas_cook_2019_via_cect,dBWML1
MDL02,muscle,wormatlas_cook_2019_via_cect,dBWML2
MDL03,muscle,wormatlas_cook_2019_via_cect,dBWML3
MDL04,muscle,wormatlas_cook_2019_via_cect,dBWML4
MDL05,muscle,wormatlas_cook_2019_via_cect,dBWML5
MDL06,muscle,wormatlas_cook_2019_via_cect,dBWML6
MDL07,muscle,wormatlas_cook_2019_via_cect,dBWML7
MDL08,muscle,wormatlas_cook_2019_via_cect,dBWML8
MDL09,muscle,wormatlas_cook_2019_via_cect,dBWML9
MDL10,muscle,wormatlas_cook_2019_via_cect,dBWML10
MDL11,muscle,wormatlas_cook_2019_via_cect,dBWML11
MDL12,muscle,wormatlas_cook_2019_via_cect,dBWML12
MDL13,muscle,wormatlas_cook_2019_via_cect,dBWML13
MDL14,muscle,wormatlas_cook_2019_via_cect,dBWML14
MDL15,muscle,wormatlas_cook_2019_via_cect,dBWML15
MDL16,muscle,wormatlas_cook_2019_via_cect,dBWML16
MDL17,muscle,wormatlas_cook_2019_via_cect,dBWML17
MDL18,muscle,wormatlas_cook_2019_via_cect,dBWML18
MDL19,muscle,wormatlas_cook_2019_via_cect,dBWML19
MDL20,muscle,wormatlas_cook_2019_via_cect,dBWML20
MDL21,muscle,wormatlas_cook_2019_via_cect,dBWML21
MDL22,muscle,wormatlas_cook_2019_via_cect,dBWML22
MDL23,muscle,wormatlas_cook_2019_via_cect,dBWML23
MDL24,muscle,wormatlas_cook_2019_via_cect,dBWML24
MDR01,muscle,wormatlas_cook_2019_via_cect,dBWMR1
MDR02,muscle,wormatlas_cook_2019_via_cect,dBWMR2
MDR03,muscle,wormatlas_cook_2019_via_cect,dBWMR3
MDR04,muscle,wormatlas_cook_2019_via_cect,dBWMR4
MDR05,muscle,wormatlas_cook_2019_via_cect,dBWMR5
MDR06,muscle,wormatlas_cook_2019_via_cect,dBWMR6
MDR07,muscle,wormatlas_cook_2019_via_cect,dBWMR7
MDR08,muscle,wormatlas_cook_2019_via_cect,dBWMR8
MDR09,muscle,wormatlas_cook_2019_via_cect,dBWMR9
MDR10,muscle,wormatlas_cook_2019_via_cect,dBWMR10
MDR11,muscle,wormatlas_cook_2019_via_cect,dBWMR11
MDR12,muscle,wormatlas_cook_2019_via_cect,dBWMR12
MDR13,muscle,wormatlas_cook_2019_via_cect,dBWMR13
MDR14,muscle,wormatlas_cook_2019_via_cect,dBWMR14
MDR15,muscle,wormatlas_cook_2019_via_cect,dBWMR15
MDR16,muscle,wormatlas_cook_2019_via_cect,dBWMR16
MDR17,muscle,wormatlas_cook_2019_via_cect,dBWMR17
MDR18,muscle,wormatlas_cook_2019_via_cect,dBWMR18
MDR19,muscle,wormatlas_cook_2019_via_cect,dBWMR19
MDR20,muscle,wormatlas_cook_2019_via_cect,dBWMR20
MDR21,muscle,wormatlas_cook_2019_via_cect,dBWMR21
MDR22,muscle,wormatlas_cook_2019_via_cect,dBWMR22
MDR23,muscle,wormatlas_cook_2019_via_cect,dBWMR23
MDR24,muscle,wormatlas_cook_2019_via_cect,dBWMR24
MI,neuron,wormatlas_cook_2019_via_cect,MI
MVL01,muscle,wormatlas_cook_2019_via_cect,vBWML1
MVL02,muscle,wormatlas_cook_2019_via_cect,vBWML2
MVL03,muscle,wormatlas_cook_2019_via_cect,vBWML3
MVL04,muscle,wormatlas_cook_2019_via_cect,vBWML4
MVL05,muscle,wormatlas_cook_2019_via_cect,vBWML5
MVL06,muscle,wormatlas_cook_2019_via_cect,vBWML6
MVL07,muscle,wormatlas_cook_2019_via_cect,vBWML7
MVL08,muscle,wormatlas_cook_2019_via_cect,vBWML8
MVL09,muscle,wormatlas_cook_2019_via_cect,vBWML9
MVL10,muscle,wormatlas_cook_2019_via_cect,vBWML10
MVL11,muscle,wormatlas_cook_2019_via_cect,vBWML11
MVL12,muscle,wormatlas_cook_2019_via_cect,vBWML12
MVL13,muscle,wormatlas_cook_2019_via_cect,vBWML13
MVL14,muscle,wormatlas_cook_2019_via_cect,vBWML14
MVL15,muscle,wormatlas_cook_2019_via_cect,vBWML15
MVL16,muscle,wormatlas_cook_2019_via_cect,vBWML16
MVL17,muscle,wormatlas_cook_2019_via_cect,vBWML17
MVL18,muscle,wormatlas_cook_2019_via_cect,vBWML18
MVL19,muscle,wormatlas_cook_2019_via_cect,vBWML19
MVL20,muscle,wormatlas_cook_2019_via_cect,vBWML20
MVL21,muscle,wormatlas_cook_2019_via_cect,vBWML21
MVL22,muscle,wormatlas_cook_2019_via_cect,vBWML22
MVL23,muscle,wormatlas_cook_2019_via_cect,vBWML23
MVR01,muscle,wormatlas_cook_2019_via_cect,vBWMR1
MVR02,muscle,wormatlas_cook_2019_via_cect,vBWMR2
MVR03,muscle,wormatlas_cook_2019_via_cect,vBWMR3
MVR04,muscle,wormatlas_cook_2019_via_cect,vBWMR4
MVR05,muscle,wormatlas_cook_2019_via_cect,vBWMR5
MVR06,muscle,wormatlas_cook_2019_via_cect,vBWMR6
MVR07,muscle,wormatlas_cook_2019_via_cect,vBWMR7
MVR08,muscle,wormatlas_cook_2019_via_cect,vBWMR8
MVR09,muscle,wormatlas_cook_2019_via_cect,vBWMR9
MVR10,muscle,wormatlas_cook_2019_via_cect,vBWMR10
MVR11,muscle,wormatlas_cook_2019_via_cect,vBWMR11
MVR12,muscle,wormatlas_cook_2019_via_cect,vBWMR12
MVR13,muscle,wormatlas_cook_2019_via_cect,vBWMR13
MVR14,muscle,wormatlas_cook_2019_via_cect,vBWMR14
MVR15,muscle,wormatlas_cook_2019_via_cect,vBWMR15
MVR16,muscle,wormatlas_cook_2019_via_cect,vBWMR16
MVR17,muscle,wormatlas_cook_2019_via_cect,vBWMR17
MVR18,muscle,wormatlas_cook_2019_via_cect,vBWMR18
MVR19,muscle,wormatlas_cook_2019_via_cect,vBWMR19
MVR20,muscle,wormatlas_cook_2019_via_cect,vBWMR20
MVR21,muscle,wormatlas_cook_2019_via_cect,vBWMR21
MVR22,muscle,wormatlas_cook_2019_via_cect,vBWMR22
MVR23,muscle,wormatlas_cook_2019_via_cect,vBWMR23
MVR24,muscle,wormatlas_cook_2019_via_cect,vBWMR24
NSML,neuron,wormatlas_cook_2019_via_cect,NSML
NSMR,neuron,wormatlas_cook_2019_via_cect,NSMR
OLLL,neuron,wormatlas_cook_2019_via_cect,OLLL
OLLR,neuron,wormatlas_cook_2019_via_cect,OLLR
OLQDL,neuron,wormatlas_cook_2019_via_cect,OLQDL
OLQDR,neuron,wormatlas_cook_2019_via_cect,OLQDR
OLQVL,neuron,wormatlas_cook_2019_via_cect,OLQVL
OLQVR,neuron,wormatlas_cook_2019_via_cect,OLQVR
PDA,neuron,wormatlas_cook_2019_via_cect,PDA
PDB,neuron,wormatlas_cook_2019_via_cect,PDB
PDEL,neuron,wormatlas_cook_2019_via_cect,PDEL
PDER,neuron,wormatlas_cook_2019_via_cect,PDER
PHAL,neuron,wormatlas_cook_2019_via_cect,PHAL
PHAR,neuron,wormatlas_cook_2019_via_cect,PHAR
PHBL,neuron,wormatlas_cook_2019_via_cect,PHBL
PHBR,neuron,wormatlas_cook_2019_via_cect,PHBR
PHCL,neuron,wormatlas_cook_2019_via_cect,PHCL
PHCR,neuron,wormatlas_cook_2019_via_cect,PHCR
PLML,neuron,wormatlas_cook_2019_via_cect,PLML
PLMR,neuron,wormatlas_cook_2019_via_cect,PLMR
PLNL,neuron,wormatlas_cook_2019_via_cect,PLNL
PLNR,neuron,wormatlas_cook_2019_via_cect,PLNR
PQR,neuron,wormatlas_cook_2019_via_cect,PQR
PVCL,neuron,wormatlas_cook_2019_via_cect,PVCL
PVCR,neuron,wormatlas_cook_2019_via_cect,PVCR
PVDL,neuron,wormatlas_cook_2019_via_cect,PVDL
PVDR,neuron,wormatlas_cook_2019_via_cect,PVDR
PVM,neuron,wormatlas_cook_2019_via_cect,PVM
PVNL,neuron,wormatlas_cook_2019_via_cect,PVNL
PVNR,neuron,wormatlas_cook_2019_via_cect,PVNR
PVPL,neuron,wormatlas_cook_2019_via_cect,PVPL
PVPR,neuron,wormatlas_cook_2019_via_cect,PVPR
PVQL,neuron,wormatlas_cook_2019_via_cect,PVQL
PVQR,neuron,wormatlas_cook_2019_via_cect,PVQR
PVR,neuron,wormatlas_cook_2019_via_cect,PVR
PVT,neuron,wormatlas_cook_2019_via_cect,PVT
PVWL,neuron,wormatlas_cook_2019_via_cect,PVWL
PVWR,neuron,wormatlas_cook_2019_via_cect,PVWR
RIAL,neuron,wormatlas_cook_2019_via_cect,RIAL
RIAR,neuron,wormatlas_cook_2019_via_cect,RIAR
RIBL,neuron,wormatlas_cook_2019_via_cect,RIBL
RIBR,neuron,wormatlas_cook_2019_via_cect,RIBR
RICL,neuron,wormatlas_cook_2019_via_cect,RICL
RICR,neuron,wormatlas_cook_2019_via_cect,RICR
RID,neuron,wormatlas_cook_2019_via_cect,RID
RIFL,neuron,wormatlas_cook_2019_via_cect,RIFL
RIFR,neuron,wormatlas_cook_2019_via_cect,RIFR
RIGL,neuron,wormatlas_cook_2019_via_cect,RIGL
RIGR,neuron,wormatlas_cook_2019_via_cect,RIGR
RIH,neuron,wormatlas_cook_2019_via_cect,RIH
RIML,neuron,wormatlas_cook_2019_via_cect,RIML
RIMR,neuron,wormatlas_cook_2019_via_cect,RIMR
RIPL,neuron,wormatlas_cook_2019_via_cect,RIPL
RIPR,neuron,wormatlas_cook_2019_via_cect,RIPR
RIR,neuron,wormatlas_cook_2019_via_cect,RIR
RIS,neuron,wormatlas_cook_2019_via_cect,RIS
RIVL,neuron,wormatlas_cook_2019_via_cect,RIVL
RIVR,neuron,wormatlas_cook_2019_via_cect,RIVR
RMDDL,neuron,wormatlas_cook_2019_via_cect,RMDDL
RMDDR,neuron,wormatlas_cook_2019_via_cect,RMDDR
RMDL,neuron,wormatlas_cook_2019_via_cect,RMDL
RMDR,neuron,wormatlas_cook_2019_via_cect,RMDR
RMDVL,neuron,wormatlas_cook_2019_via_cect,RMDVL
RMDVR,neuron,wormatlas_cook_2019_via_cect,RMDVR
RMED,neuron,wormatlas_cook_2019_via_cect,RMED
RMEL,neuron,wormatlas_cook_2019_via_cect,RMEL
RMER,neuron,wormatlas_cook_2019_via_cect,RMER
RMEV,neuron,wormatlas_cook_2019_via_cect,RMEV
RMFL,neuron,wormatlas_cook_2019_via_cect,RMFL
RMFR,neuron,wormatlas_cook_2019_via_cect,RMFR
RMGL,neuron,wormatlas_cook_2019_via_cect,RMGL
RMGR,neuron,wormatlas_cook_2019_via_cect,RMGR
RMHL,neuron,wormatlas_cook_2019_via_cect,RMHL
RMHR,neuron,wormatlas_cook_2019_via_cect,RMHR
SAADL,neuron,wormatlas_cook_2019_via_cect,SAADL
SAADR,neuron,wormatlas_cook_2019_via_cect,SAADR
SAAVL,neuron,wormatlas_cook_2019_via_cect,SAAVL
SAAVR,neuron,wormatlas_cook_2019_via_cect,SAAVR
SABD,neuron,wormatlas_cook_2019_via_cect,SABD
SABVL,neuron,wormatlas_cook_2019_via_cect,SABVL
SABVR,neuron,wormatlas_cook_2019_via_cect,SABVR
SDQL,neuron,wormatlas_cook_2019_via_cect,SDQL
SDQR,neuron,wormatlas_cook_2019_via_cect,SDQR
SIADL,neuron,wormatlas_cook_2019_via_cect,SIADL
SIADR,neuron,wormatlas_cook_2019_via_cect,SIADR
SIAVL,neuron,wormatlas_cook_2019_via_cect,SIAVL
SIAVR,neuron,wormatlas_cook_2019_via_cect,SIAVR
SIBDL,neuron,wormatlas_cook_2019_via_cect,SIBDL
SIBDR,neuron,wormatlas_cook_2019_via_cect,SIBDR
SIBVL,neuron,wormatlas_cook_2019_via_cect,SIBVL
SIBVR,neuron,wormatlas_cook_2019_via_cect,SIBVR
SMBDL,neuron,wormatlas_cook_2019_via_cect,SMBDL
SMBDR,neuron,wormatlas_cook_2019_via_cect,SMBDR
SMBVL,neuron,wormatlas_cook_2019_via_cect,SMBVL
SMBVR,neuron,wormatlas_cook_2019_via_cect,SMBVR
SMDDL,neuron,wormatlas_cook_2019_via_cect,SMDDL
SMDDR,neuron,wormatlas_cook_2019_via_cect,SMDDR
SMDVL,neuron,wormatlas_cook_2019_via_cect,SMDVL
SMDVR,neuron,wormatlas_cook_2019_via_cect,SMDVR
URADL,neuron,wormatlas_cook_2019_via_cect,URADL
URADR,neuron,wormatlas_cook_2019_via_cect,URADR
URAVL,neuron,wormatlas_cook_2019_via_cect,URAVL
URAVR,neuron,wormatlas_cook_2019_via_cect,URAVR
URBL,neuron,wormatlas_cook_2019_via_cect,URBL
URBR,neuron,wormatlas_cook_2019_via_cect,URBR
URXL,neuron,wormatlas_cook_2019_via_cect,URXL
URXR,neuron,wormatlas_cook_2019_via_cect,URXR
URYDL,neuron,wormatlas_cook_2019_via_cect,URYDL
URYDR,neuron,wormatlas_cook_2019_via_cect,URYDR
URYVL,neuron,wormatlas_cook_2019_via_cect,URYVL
URYVR,neuron,wormatlas_cook_2019_via_cect,URYVR
VA1,neuron,wormatlas_cook_2019_via_cect,VA01
VA10,neuron,wormatlas_cook_2019_via_cect,VA10
VA11,neuron,wormatlas_cook_2019_via_cect,VA11
VA12,neuron,wormatlas_cook_2019_via_cect,VA12
VA2,neuron,wormatlas_cook_2019_via_cect,VA02
VA3,neuron,wormatlas_cook_2019_via_cect,VA03
VA4,neuron,wormatlas_cook_2019_via_cect,VA04
VA5,neuron,wormatlas_cook_2019_via_cect,VA05
VA6,neuron,wormatlas_cook_2019_via_cect,VA06
VA7,neuron,wormatlas_cook_2019_via_cect,VA07
VA8,neuron,wormatlas_cook_2019_via_cect,VA08
VA9,neuron,wormatlas_cook_2019_via_cect,VA09
VB1,neuron,wormatlas_cook_2019_via_cect,VB01
VB10,neuron,wormatlas_cook_2019_via_cect,VB10
VB11,neuron,wormatlas_cook_2019_via_cect,VB11
VB2,neuron,wormatlas_cook_2019_via_cect,VB02
VB3,neuron,wormatlas_cook_2019_via_cect,VB03
VB4,neuron,wormatlas_cook_2019_via_cect,VB04
VB5,neuron,wormatlas_cook_2019_via_cect,VB05
VB6,neuron,wormatlas_cook_2019_via_cect,VB06
VB7,neuron,wormatlas_cook_2019_via_cect,VB07
VB8,neuron,wormatlas_cook_2019_via_cect,VB08
VB9,neuron,wormatlas_cook_2019_via_cect,VB09
VC1,neuron,wormatlas_cook_2019_via_cect,VC01
VC2,neuron,wormatlas_cook_2019_via_cect,VC02
VC3,neuron,wormatlas_cook_2019_via_cect,VC03
VC4,neuron,wormatlas_cook_2019_via_cect,VC04
VC5,neuron,wormatlas_cook_2019_via_cect,VC05
VC6,neuron,wormatlas_cook_2019_via_cect,VC06
VD1,neuron,wormatlas_cook_2019_via_cect,VD01
VD10,neuron,wormatlas_cook_2019_via_cect,VD10
VD11,neuron,wormatlas_cook_2019_via_cect,VD11
VD12,neuron,wormatlas_cook_2019_via_cect,VD12
VD13,neuron,wormatlas_cook_2019_via_cect,VD13
VD2,neuron,wormatlas_cook_2019_via_cect,VD02
VD3,neuron,wormatlas_cook_2019_via_cect,VD03
VD4,neuron,wormatlas_cook_2019_via_cect,VD04
VD5,neuron,wormatlas_cook_2019_via_cect,VD05
VD6,neuron,wormatlas_cook_2019_via_cect,VD06
VD7,neuron,wormatlas_cook_2019_via_cect,VD07
VD8,neuron,wormatlas_cook_2019_via_cect,VD08
VD9,neuron,wormatlas_cook_2019_via_cect,VD09
bm,other,wormatlas_cook_2019_via_cect,bm
e2D,other,wormatlas_cook_2019_via_cect,e2D
e2VL,other,wormatlas_cook_2019_via_cect,e2VL
e2VR,other,wormatlas_cook_2019_via_cect,e2VR
e3D,other,wormatlas_cook_2019_via_cect,e3D
e3VL,other,wormatlas_cook_2019_via_cect,e3VL
e3VR,other,wormatlas_cook_2019_via_cect,e3VR
exc_cell,other,wormatlas_cook_2019_via_cect,exc_cell
exc_gl,other,wormatlas_cook_2019_via_cect,exc_gl
g1AL,glia,wormatlas_cook_2019_via_cect,g1AL
g1AR,glia,wormatlas_cook_2019_via_cect,g1AR
g1P,glia,wormatlas_cook_2019_via_cect,g1p
g2L,glia,wormatlas_cook_2019_via_cect,g2L
g2R,glia,wormatlas_cook_2019_via_cect,g2R
hmc,other,wormatlas_cook_2019_via_cect,hmc
hyp,other,wormatlas_cook_2019_via_cect,hyp
int,other,wormatlas_cook_2019_via_cect,int
mc1DL,other,wormatlas_cook_2019_via_cect,mc1DL
mc1DR,other,wormatlas_cook_2019_via_cect,mc1DR
mc1V,other,wormatlas_cook_2019_via_cect,mc1V
mc2DL,other,wormatlas_cook_2019_via_cect,mc2DL
mc2DR,other,wormatlas_cook_2019_via_cect,mc2DR
mc2V,other,wormatlas_cook_2019_via_cect,mc2V
mc3DL,other,wormatlas_cook_2019_via_cect,mc3DL
mc3DR,other,wormatlas_cook_2019_via_cect,mc3DR
mc3V,other,wormatlas_cook_2019_via_cect,mc3V
mu_anal,muscle,wormatlas_cook_2019_via_cect,mu_anal
mu_intL,muscle,wormatlas_cook_2019_via_cect,mu_intL
mu_intR,muscle,wormatlas_cook_2019_via_cect,mu_intR
mu_sph,muscle,wormatlas_cook_2019_via_cect,mu_sph
pm1,muscle,wormatlas_cook_2019_via_cect,pm1
pm2D,muscle,wormatlas_cook_2019_via_cect,pm2D
pm2VL,muscle,wormatlas_cook_2019_via_cect,pm2VL
pm2VR,muscle,wormatlas_cook_2019_via_cect,pm2VR
pm3D,muscle,wormatlas_cook_2019_via_cect,pm3D
pm3VL,muscle,wormatlas_cook_2019_via_cect,pm3VL
pm3VR,muscle,wormatlas_cook_2019_via_cect,pm3VR
pm4D,muscle,wormatlas_cook_2019_via_cect,pm4D
pm4VL,muscle,wormatlas_cook_2019_via_cect,pm4VL
pm4VR,muscle,wormatlas_cook_2019_via_cect,pm4VR
pm5D,muscle,wormatlas_cook_2019_via_cect,pm5D
pm5VL,muscle,wormatlas_cook_2019_via_cect,pm5VL
pm5VR,muscle,wormatlas_cook_2019_via_cect,pm5VR
pm6D,muscle,wormatlas_cook_2019_via_cect,pm6D
pm6VL,muscle,wormatlas_cook_2019_via_cect,pm6VL
pm6VR,muscle,wormatlas_cook_2019_via_cect,pm6VR
